mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.89114	0.80472	0.99839	0.80367	0.00349	0.00407	0.00510	0.00568
auto	l1	sgd	0.80289	0.80497	1.00000	0.50132	0.28212	0.00401	0.00000	0.32149
auto	l1	nearestCentroid	0.67677	0.86623	0.55764	0.57464	0.06068	0.05252	0.06782	0.06488
auto	l1	adaboost	0.87873	0.81814	0.94950	0.78930	0.01232	0.01183	0.02607	0.01947
auto	l1	BernoulliNaiveBayes	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l1	DecisionTree	0.83131	0.83601	0.82924	0.72780	0.02324	0.02433	0.04734	0.02816
auto	l1	GradientBoosting	0.87757	0.81765	0.94791	0.78795	0.02294	0.01263	0.04533	0.03529
auto	l1	NeuralNetwork	0.88935	0.80501	0.99355	0.80108	0.00611	0.00475	0.01360	0.00954
auto	l1	randomForest	0.89233	0.81206	0.98866	0.80631	0.01015	0.00756	0.01716	0.01309
auto	l2	svm-rbf	0.89260	0.80604	1.00000	0.80629	0.00286	0.00469	0.00000	0.00515
auto	l2	sgd	0.80289	0.56393	0.90000	0.68341	0.28212	0.38917	0.31623	0.25687
auto	l2	nearestCentroid	0.74084	0.91102	0.62927	0.65060	0.06080	0.04246	0.08441	0.06656
auto	l2	adaboost	0.87674	0.83839	0.92173	0.79315	0.03540	0.02686	0.06789	0.05046
auto	l2	BernoulliNaiveBayes	0.88936	0.80501	0.99350	0.80106	0.00482	0.00475	0.00840	0.00783
auto	l2	DecisionTree	0.84076	0.84517	0.80796	0.74477	0.03323	0.03559	0.08123	0.04598
auto	l2	GradientBoosting	0.87007	0.83504	0.91034	0.78271	0.04301	0.03542	0.06725	0.06395
auto	l2	NeuralNetwork	0.88170	0.81637	0.95947	0.79325	0.01879	0.01532	0.04065	0.02953
auto	l2	randomForest	0.89279	0.82178	0.98054	0.80632	0.01444	0.01884	0.01829	0.02339
auto	l3	svm-rbf	0.89654	0.81251	1.00000	0.81417	0.00480	0.00789	0.00000	0.00964
auto	l3	sgd	0.71384	0.56393	0.90000	0.74445	0.37624	0.38917	0.31623	0.19226
auto	l3	nearestCentroid	0.68851	0.88156	0.57203	0.59159	0.07504	0.05238	0.09843	0.07266
auto	l3	adaboost	0.87980	0.83009	0.93646	0.79455	0.02278	0.01770	0.03742	0.03580
auto	l3	BernoulliNaiveBayes	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l3	DecisionTree	0.83219	0.84202	0.84225	0.72908	0.02998	0.03782	0.03715	0.04820
auto	l3	GradientBoosting	0.88293	0.84237	0.92832	0.80241	0.02524	0.02073	0.04092	0.03999
auto	l3	NeuralNetwork	0.89184	0.82444	0.97224	0.81022	0.00612	0.01773	0.02570	0.01091
auto	l3	randomForest	0.89289	0.82356	0.98207	0.81811	0.01129	0.01367	0.01795	0.02381
auto	l4	svm-rbf	0.89144	0.80739	0.99508	0.80496	0.00702	0.00623	0.01106	0.01177
auto	l4	sgd	0.71369	0.64445	0.80000	0.74393	0.37615	0.33967	0.42164	0.19299
auto	l4	nearestCentroid	0.72490	0.89050	0.61277	0.62678	0.03569	0.03872	0.04492	0.04192
auto	l4	adaboost	0.86646	0.82155	0.91700	0.77221	0.02489	0.03022	0.02613	0.04358
auto	l4	BernoulliNaiveBayes	0.89114	0.80473	0.99839	0.80366	0.00081	0.00328	0.00510	0.00132
auto	l4	DecisionTree	0.83407	0.83081	0.83908	0.74221	0.01380	0.02615	0.02654	0.03745
auto	l4	GradientBoosting	0.88172	0.82582	0.94627	0.79585	0.01903	0.01847	0.03078	0.03178
auto	l4	NeuralNetwork	0.88885	0.81195	0.98205	0.80236	0.01450	0.01497	0.01963	0.02508
auto	l4	randomForest	0.89287	0.82287	0.98377	0.81285	0.01533	0.01761	0.01527	0.02612
auto	l5	svm-rbf	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l5	sgd	0.80209	0.56393	0.90000	0.68341	0.28183	0.38917	0.31623	0.25687
auto	l5	nearestCentroid	0.70110	0.88129	0.58379	0.60082	0.04204	0.04462	0.05078	0.04946
auto	l5	adaboost	0.88156	0.82475	0.94781	0.79580	0.02518	0.01755	0.04561	0.03876
auto	l5	BernoulliNaiveBayes	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l5	DecisionTree	0.81956	0.82945	0.82916	0.73683	0.04797	0.03242	0.06104	0.05835
auto	l5	GradientBoosting	0.87127	0.81906	0.93160	0.77883	0.02042	0.02005	0.03769	0.03261
auto	l5	NeuralNetwork	0.89285	0.81862	0.98213	0.81024	0.01149	0.01435	0.01620	0.02041
auto	l5	randomForest	0.88972	0.81207	0.98702	0.80892	0.01332	0.01264	0.01484	0.01741
auto	l6	svm-rbf	0.89113	0.80471	0.99836	0.80366	0.00391	0.00426	0.00518	0.00634
auto	l6	sgd	0.71369	0.56261	0.80000	0.80497	0.37615	0.38824	0.42164	0.00401
auto	l6	nearestCentroid	0.72272	0.89810	0.60653	0.62833	0.05722	0.04142	0.06640	0.06338
auto	l6	adaboost	0.87754	0.82755	0.93480	0.79052	0.02191	0.01631	0.04023	0.03427
auto	l6	BernoulliNaiveBayes	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l6	DecisionTree	0.80521	0.81833	0.79818	0.70414	0.05164	0.02895	0.08392	0.06587
auto	l6	GradientBoosting	0.87322	0.82515	0.92824	0.78392	0.02814	0.01898	0.04848	0.04315
auto	l6	NeuralNetwork	0.88507	0.80363	0.98533	0.79450	0.01587	0.00518	0.03310	0.02400
auto	l6	randomForest	0.89648	0.81679	0.99347	0.81550	0.00972	0.01052	0.00843	0.01617
auto	l7	svm-rbf	0.89260	0.80604	1.00000	0.80629	0.00286	0.00469	0.00000	0.00515
auto	l7	sgd	0.80274	0.56367	0.80000	0.74181	0.28206	0.38899	0.42164	0.19593
auto	l7	nearestCentroid	0.70182	0.88385	0.58374	0.60208	0.04071	0.04860	0.04924	0.04763
auto	l7	adaboost	0.86091	0.81436	0.91372	0.76299	0.02331	0.01295	0.04092	0.03636
auto	l7	BernoulliNaiveBayes	0.88650	0.80580	0.98530	0.79710	0.01188	0.00725	0.02109	0.01910
auto	l7	DecisionTree	0.81545	0.82323	0.79339	0.70154	0.02790	0.02982	0.04321	0.03670
auto	l7	GradientBoosting	0.86161	0.81985	0.90896	0.76570	0.02187	0.01486	0.04485	0.03345
auto	l7	NeuralNetwork	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l7	randomForest	0.89343	0.81200	0.99019	0.80494	0.01027	0.00657	0.01761	0.01940
auto	l8	svm-rbf	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
auto	l8	sgd	0.89195	0.72445	0.70000	0.68341	0.00245	0.25458	0.48305	0.25687
auto	l8	nearestCentroid	0.68837	0.87564	0.57039	0.58633	0.04193	0.05500	0.05607	0.04850
auto	l8	adaboost	0.88421	0.81781	0.96253	0.79715	0.01555	0.01610	0.02047	0.02688
auto	l8	BernoulliNaiveBayes	0.89259	0.80603	1.00000	0.80627	0.00322	0.00527	0.00000	0.00579
auto	l8	DecisionTree	0.80500	0.81767	0.77578	0.67550	0.04355	0.03198	0.05729	0.05080
auto	l8	GradientBoosting	0.88329	0.82288	0.95434	0.79715	0.01647	0.02313	0.03168	0.02824
auto	l8	NeuralNetwork	0.88742	0.80527	0.98858	0.79841	0.01205	0.00468	0.02678	0.01793
auto	l8	randomForest	0.88953	0.80801	0.98207	0.80106	0.00880	0.00843	0.01626	0.01329
cross	l1	svm-rbf	0.89114	0.80472	0.99839	0.80367	0.00349	0.00407	0.00510	0.00568
cross	l1	sgd	0.89195	0.72471	0.60000	0.62186	0.00245	0.25467	0.51640	0.29472
cross	l1	nearestCentroid	0.67677	0.86623	0.55764	0.57464	0.06068	0.05252	0.06782	0.06488
cross	l1	adaboost	0.87873	0.81814	0.94950	0.78930	0.01232	0.01183	0.02607	0.01947
cross	l1	BernoulliNaiveBayes	0.83892	0.82001	0.86026	0.73563	0.02981	0.01077	0.05674	0.04116
cross	l1	DecisionTree	0.82238	0.83093	0.82602	0.73040	0.02452	0.02011	0.03260	0.03716
cross	l1	GradientBoosting	0.87757	0.81765	0.94791	0.78795	0.02294	0.01263	0.04533	0.03529
cross	l1	NeuralNetwork	0.88737	0.81062	0.98046	0.79976	0.00972	0.00994	0.02008	0.01605
cross	l1	randomForest	0.89299	0.81463	0.99186	0.80636	0.00956	0.00936	0.01155	0.01939
cross	l2	svm-rbf	0.89260	0.80604	1.00000	0.80629	0.00286	0.00469	0.00000	0.00515
cross	l2	sgd	0.71369	0.72445	0.90000	0.74445	0.37615	0.25458	0.31623	0.19226
cross	l2	nearestCentroid	0.74084	0.91102	0.62927	0.65060	0.06080	0.04246	0.08441	0.06656
cross	l2	adaboost	0.87674	0.83839	0.92173	0.79315	0.03540	0.02686	0.06789	0.05046
cross	l2	BernoulliNaiveBayes	0.85365	0.85127	0.85698	0.76435	0.02853	0.01683	0.04703	0.04138
cross	l2	DecisionTree	0.82564	0.85303	0.83406	0.74212	0.04799	0.03755	0.05283	0.04685
cross	l2	GradientBoosting	0.87007	0.83504	0.91034	0.78271	0.04301	0.03542	0.06725	0.06395
cross	l2	NeuralNetwork	0.88016	0.81497	0.95785	0.79067	0.02307	0.01812	0.04531	0.03677
cross	l2	randomForest	0.88779	0.82989	0.96592	0.80895	0.01064	0.02778	0.02597	0.02518
cross	l3	svm-rbf	0.89654	0.81251	1.00000	0.81417	0.00480	0.00789	0.00000	0.00964
cross	l3	sgd	0.71288	0.56367	0.80000	0.80497	0.37572	0.38899	0.42164	0.00401
cross	l3	nearestCentroid	0.68851	0.88156	0.57203	0.59159	0.07504	0.05238	0.09843	0.07266
cross	l3	adaboost	0.87980	0.83009	0.93646	0.79455	0.02278	0.01770	0.03742	0.03580
cross	l3	BernoulliNaiveBayes	0.86201	0.80916	0.92343	0.76306	0.02918	0.02107	0.05124	0.04498
cross	l3	DecisionTree	0.83393	0.84531	0.84053	0.73689	0.03337	0.03623	0.04239	0.05096
cross	l3	GradientBoosting	0.88293	0.84237	0.92832	0.80241	0.02524	0.02073	0.04092	0.03999
cross	l3	NeuralNetwork	0.88955	0.82247	0.96906	0.80632	0.00902	0.01446	0.02103	0.01553
cross	l3	randomForest	0.89326	0.82782	0.97396	0.81810	0.01093	0.01648	0.01757	0.02473
cross	l4	svm-rbf	0.89144	0.80739	0.99508	0.80496	0.00702	0.00623	0.01106	0.01177
cross	l4	sgd	0.71353	0.72471	0.90000	0.68392	0.37607	0.25467	0.31623	0.25646
cross	l4	nearestCentroid	0.72490	0.89050	0.61277	0.62678	0.03569	0.03872	0.04492	0.04192
cross	l4	adaboost	0.86646	0.82155	0.91700	0.77221	0.02489	0.03022	0.02613	0.04358
cross	l4	BernoulliNaiveBayes	0.84936	0.84001	0.86010	0.75504	0.03323	0.03130	0.04879	0.05190
cross	l4	DecisionTree	0.84060	0.83838	0.84231	0.74605	0.02030	0.03298	0.03566	0.03098
cross	l4	GradientBoosting	0.88172	0.82582	0.94627	0.79585	0.01903	0.01847	0.03078	0.03178
cross	l4	NeuralNetwork	0.89278	0.81851	0.98205	0.81022	0.01532	0.01438	0.02106	0.02633
cross	l4	randomForest	0.88991	0.82794	0.96909	0.81155	0.01833	0.01536	0.02217	0.02376
cross	l5	svm-rbf	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
cross	l5	sgd	0.71288	0.64419	0.90000	0.68289	0.37572	0.33954	0.31623	0.25728
cross	l5	nearestCentroid	0.70110	0.88129	0.58379	0.60082	0.04204	0.04462	0.05078	0.04946
cross	l5	adaboost	0.88156	0.82475	0.94781	0.79580	0.02518	0.01755	0.04561	0.03876
cross	l5	BernoulliNaiveBayes	0.84031	0.82643	0.85677	0.73942	0.03466	0.02652	0.06094	0.05046
cross	l5	DecisionTree	0.82159	0.83724	0.83075	0.72632	0.04551	0.02440	0.05640	0.04847
cross	l5	GradientBoosting	0.87127	0.81906	0.93160	0.77883	0.02042	0.02005	0.03769	0.03261
cross	l5	NeuralNetwork	0.89321	0.81691	0.98540	0.81027	0.01092	0.01433	0.01191	0.02003
cross	l5	randomForest	0.89097	0.81656	0.98538	0.80632	0.01125	0.01446	0.01611	0.02558
cross	l6	svm-rbf	0.89113	0.80471	0.99836	0.80366	0.00391	0.00426	0.00518	0.00634
cross	l6	sgd	0.80289	0.64419	1.00000	0.74393	0.28212	0.33954	0.00000	0.19299
cross	l6	nearestCentroid	0.72272	0.89810	0.60653	0.62833	0.05722	0.04142	0.06640	0.06338
cross	l6	adaboost	0.87754	0.82755	0.93480	0.79052	0.02191	0.01631	0.04023	0.03427
cross	l6	BernoulliNaiveBayes	0.84580	0.84173	0.85180	0.75116	0.03635	0.03362	0.05740	0.05393
cross	l6	DecisionTree	0.81597	0.82382	0.80137	0.69751	0.04800	0.01919	0.08537	0.05303
cross	l6	GradientBoosting	0.87322	0.82515	0.92824	0.78392	0.02814	0.01898	0.04848	0.04315
cross	l6	NeuralNetwork	0.89096	0.80551	0.99672	0.80366	0.00655	0.00537	0.01037	0.01082
cross	l6	randomForest	0.89550	0.81910	0.98858	0.81418	0.00944	0.01381	0.01104	0.01779
cross	l7	svm-rbf	0.89260	0.80604	1.00000	0.80629	0.00286	0.00469	0.00000	0.00515
cross	l7	sgd	0.71384	0.80497	0.90000	0.80497	0.37624	0.00401	0.31623	0.00401
cross	l7	nearestCentroid	0.70182	0.88385	0.58374	0.60208	0.04071	0.04860	0.04924	0.04763
cross	l7	adaboost	0.86091	0.81436	0.91372	0.76299	0.02331	0.01295	0.04092	0.03636
cross	l7	BernoulliNaiveBayes	0.81237	0.82209	0.80674	0.70547	0.06351	0.02314	0.10332	0.08673
cross	l7	DecisionTree	0.81067	0.82289	0.79680	0.71066	0.02668	0.02434	0.03735	0.03781
cross	l7	GradientBoosting	0.86161	0.81985	0.90896	0.76570	0.02187	0.01486	0.04485	0.03345
cross	l7	NeuralNetwork	0.89097	0.80553	0.99677	0.80367	0.00389	0.00442	0.01020	0.00568
cross	l7	randomForest	0.88896	0.81215	0.97721	0.80103	0.01084	0.00438	0.02065	0.02398
cross	l8	svm-rbf	0.89195	0.80497	1.00000	0.80497	0.00245	0.00401	0.00000	0.00401
cross	l8	sgd	0.71353	0.72445	0.70000	0.80497	0.37607	0.25458	0.48305	0.00401
cross	l8	nearestCentroid	0.68837	0.87564	0.57039	0.58633	0.04193	0.05500	0.05607	0.04850
cross	l8	adaboost	0.88421	0.81781	0.96253	0.79715	0.01555	0.01610	0.02047	0.02688
cross	l8	BernoulliNaiveBayes	0.82827	0.82130	0.83728	0.72252	0.03942	0.02406	0.06513	0.05447
cross	l8	DecisionTree	0.79264	0.81651	0.77729	0.68211	0.04247	0.03045	0.03466	0.05680
cross	l8	GradientBoosting	0.88329	0.82288	0.95434	0.79715	0.01647	0.02313	0.03168	0.02824
cross	l8	NeuralNetwork	0.89266	0.81053	0.99347	0.80762	0.00509	0.01027	0.00843	0.01010
cross	l8	randomForest	0.88504	0.80757	0.97882	0.79844	0.01347	0.01064	0.02320	0.02232
