Feature: f1                        Rank: 3,  Keep: False 
Feature: f2                        Rank: 27,  Keep: False 
Feature: f3                        Rank: 24,  Keep: False 
Feature: f4                        Rank: 45,  Keep: False 
Feature: f5                        Rank: 34,  Keep: False 
Feature: f6                        Rank: 32,  Keep: False 
Feature: f7                        Rank: 1,  Keep: True 
Feature: f8                        Rank: 40,  Keep: False 
Feature: f9                        Rank: 1,  Keep: True 
Feature: f10                       Rank: 34,  Keep: False 
Feature: f11                       Rank: 23,  Keep: False 
Feature: f12                       Rank: 42,  Keep: False 
Feature: f13                       Rank: 30,  Keep: False 
Feature: f14                       Rank: 16,  Keep: False 
Feature: f15                       Rank: 20,  Keep: False 
Feature: f16                       Rank: 25,  Keep: False 
Feature: f17                       Rank: 25,  Keep: False 
Feature: f18                       Rank: 36,  Keep: False 
Feature: f19                       Rank: 8,  Keep: False 
Feature: f20                       Rank: 33,  Keep: False 
Feature: f21                       Rank: 2,  Keep: False 
Feature: f22                       Rank: 44,  Keep: False 
Feature: f23                       Rank: 38,  Keep: False 
Feature: f24                       Rank: 31,  Keep: False 
Feature: f25                       Rank: 9,  Keep: False 
Feature: f26                       Rank: 9,  Keep: False 
Feature: f27                       Rank: 1,  Keep: True 
Feature: f28                       Rank: 21,  Keep: False 
Feature: f29                       Rank: 36,  Keep: False 
Feature: f30                       Rank: 41,  Keep: False 
Feature: f31                       Rank: 1,  Keep: True 
Feature: f32                       Rank: 1,  Keep: True 
Feature: f33                       Rank: 1,  Keep: True 
Feature: f34                       Rank: 5,  Keep: False 
Feature: f35                       Rank: 1,  Keep: True 
Feature: f36                       Rank: 14,  Keep: False 
Feature: f37                       Rank: 1,  Keep: True 
Feature: f38                       Rank: 7,  Keep: False 
Feature: f39                       Rank: 1,  Keep: True 
Feature: f40                       Rank: 22,  Keep: False 
Feature: f41                       Rank: 14,  Keep: False 
Feature: f42                       Rank: 39,  Keep: False 
Feature: f43                       Rank: 19,  Keep: False 
Feature: f44                       Rank: 13,  Keep: False 
Feature: f45                       Rank: 28,  Keep: False 
Feature: f46                       Rank: 43,  Keep: False 
Feature: f47                       Rank: 29,  Keep: False 
Feature: f48                       Rank: 6,  Keep: False 
Feature: f49                       Rank: 18,  Keep: False 
Feature: f50                       Rank: 11,  Keep: False 
Feature: f51                       Rank: 11,  Keep: False 
Feature: f52                       Rank: 16,  Keep: False 
Feature: f53                       Rank: 4,  Keep: False 
Feature: f54                       Rank: 1,  Keep: True 
