mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.90836	0.83211	1.00000	0.83211	0.00219	0.00367	0.00000	0.00367
auto	l1	sgd	0.69905	0.84603	0.65577	0.60677	0.11135	0.04575	0.11949	0.07336
auto	l1	nearestCentroid	0.58210	0.83149	0.45400	0.47181	0.10445	0.06063	0.11221	0.09890
auto	l1	adaboost	0.90025	0.83098	0.98220	0.81893	0.00602	0.00565	0.01124	0.01031
auto	l1	BernoulliNaiveBayes	0.90836	0.83211	1.00000	0.83211	0.00219	0.00367	0.00000	0.00367
auto	l1	DecisionTree	0.83046	0.83085	0.82400	0.72097	0.03339	0.02769	0.04745	0.04752
auto	l1	GradientBoosting	0.89958	0.83199	0.97925	0.81813	0.00630	0.00727	0.01179	0.01076
auto	l1	NeuralNetwork	0.90738	0.83183	0.99803	0.83047	0.00305	0.00374	0.00415	0.00509
auto	l1	randomForest	0.90737	0.83169	0.99703	0.82963	0.00335	0.00358	0.00939	0.00779
auto	l2	svm-rbf	0.90836	0.83211	1.00000	0.83211	0.00219	0.00367	0.00000	0.00367
auto	l2	sgd	0.65249	0.81314	0.57165	0.52939	0.14029	0.04306	0.13864	0.13908
auto	l2	nearestCentroid	0.64273	0.83878	0.52525	0.52115	0.06965	0.03850	0.08525	0.07063
auto	l2	adaboost	0.89914	0.83063	0.98022	0.81725	0.01254	0.00380	0.02556	0.02050
auto	l2	BernoulliNaiveBayes	0.90836	0.83211	1.00000	0.83211	0.00219	0.00367	0.00000	0.00367
auto	l2	DecisionTree	0.82761	0.83640	0.80415	0.69626	0.01963	0.01445	0.03088	0.02718
auto	l2	GradientBoosting	0.90056	0.83223	0.98119	0.81975	0.00739	0.00609	0.01274	0.01265
auto	l2	NeuralNetwork	0.90680	0.83225	0.99604	0.82964	0.00372	0.00476	0.00511	0.00653
auto	l2	randomForest	0.90836	0.83211	1.00000	0.83211	0.00219	0.00367	0.00000	0.00367
