mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.82848	0.75422	0.92342	0.72685	0.05202	0.03388	0.09582	0.07055
auto	l1	sgd	0.58825	0.36296	0.70000	0.60106	0.40608	0.38284	0.48305	0.21070
auto	l1	nearestCentroid	0.72528	0.87466	0.63842	0.66852	0.12792	0.10703	0.16808	0.11662
auto	l1	adaboost	0.82763	0.79444	0.86763	0.74153	0.05382	0.04093	0.08949	0.07456
auto	l1	BernoulliNaiveBayes	0.83824	0.74890	0.95395	0.73439	0.03841	0.04406	0.05163	0.05949
auto	l1	DecisionTree	0.75553	0.76712	0.73474	0.66085	0.03552	0.05550	0.05667	0.06914
auto	l1	GradientBoosting	0.81457	0.77289	0.86789	0.71931	0.06612	0.04570	0.11667	0.08999
auto	l1	NeuralNetwork	0.83289	0.73080	0.97500	0.71971	0.02558	0.02764	0.07906	0.02340
auto	l1	randomForest	0.81806	0.75540	0.90789	0.73056	0.06383	0.03545	0.09130	0.05563
auto	l2	svm-rbf	0.83071	0.72162	0.97921	0.71217	0.02814	0.02735	0.03656	0.04197
auto	l2	sgd	0.67086	0.58148	0.90000	0.63439	0.35377	0.30693	0.31623	0.18888
auto	l2	nearestCentroid	0.69797	0.84155	0.60237	0.62778	0.07668	0.08647	0.09042	0.08117
auto	l2	adaboost	0.78472	0.77616	0.80053	0.68624	0.07030	0.06794	0.10259	0.09144
auto	l2	BernoulliNaiveBayes	0.82361	0.78801	0.86763	0.73479	0.05213	0.04697	0.08916	0.06620
auto	l2	DecisionTree	0.75360	0.75270	0.70526	0.64259	0.11608	0.08053	0.16830	0.13749
auto	l2	GradientBoosting	0.80893	0.78320	0.84632	0.71601	0.06720	0.06036	0.11049	0.08496
auto	l2	NeuralNetwork	0.81686	0.72441	0.93789	0.69735	0.03772	0.03420	0.05896	0.05492
auto	l2	randomForest	0.81940	0.74793	0.91816	0.71217	0.04691	0.05713	0.07878	0.09528
auto	l3	svm-rbf	0.83388	0.73361	0.96895	0.72315	0.03480	0.02585	0.07046	0.04418
auto	l3	sgd	0.75597	0.57778	0.90000	0.58413	0.26591	0.30502	0.31623	0.21881
auto	l3	nearestCentroid	0.65914	0.88157	0.53895	0.60939	0.09860	0.10397	0.11850	0.08368
auto	l3	adaboost	0.77499	0.77416	0.78000	0.67540	0.06214	0.06173	0.08619	0.07696
auto	l3	BernoulliNaiveBayes	0.82638	0.71784	0.97474	0.70489	0.02652	0.02011	0.04875	0.03795
auto	l3	DecisionTree	0.80004	0.78521	0.81079	0.69048	0.05567	0.05737	0.04980	0.05982
auto	l3	GradientBoosting	0.78234	0.77455	0.79579	0.68598	0.07463	0.04472	0.11657	0.09040
auto	l3	NeuralNetwork	0.83038	0.72193	0.98000	0.71217	0.02684	0.01774	0.06325	0.03394
auto	l3	randomForest	0.83708	0.75768	0.92842	0.74153	0.02917	0.03661	0.06013	0.05010
auto	l4	svm-rbf	0.84957	0.77097	0.94974	0.75648	0.02735	0.04188	0.05271	0.04661
auto	l4	sgd	0.58575	0.50847	0.40000	0.67513	0.40436	0.35119	0.51640	0.14718
auto	l4	nearestCentroid	0.71849	0.86978	0.61658	0.65304	0.06770	0.09198	0.07606	0.07881
auto	l4	adaboost	0.79528	0.77514	0.82605	0.70119	0.07808	0.04656	0.13088	0.08590
auto	l4	BernoulliNaiveBayes	0.84971	0.76650	0.95395	0.75635	0.03035	0.03211	0.03788	0.04733
auto	l4	DecisionTree	0.75642	0.75946	0.75921	0.63056	0.09414	0.08133	0.14352	0.11149
auto	l4	GradientBoosting	0.80988	0.79455	0.83184	0.71958	0.05983	0.06907	0.08707	0.08212
auto	l4	NeuralNetwork	0.82743	0.76975	0.89816	0.73042	0.03325	0.03655	0.06739	0.04733
auto	l4	randomForest	0.83950	0.76783	0.91895	0.73426	0.03393	0.03020	0.05862	0.05487
auto	l5	svm-rbf	0.83167	0.73465	0.96000	0.71944	0.02747	0.02577	0.05164	0.04409
auto	l5	sgd	0.58898	0.64921	1.00000	0.54550	0.40656	0.22879	0.00000	0.23117
auto	l5	nearestCentroid	0.68947	0.88481	0.57211	0.63519	0.08541	0.06409	0.10716	0.08098
auto	l5	adaboost	0.79036	0.76840	0.81658	0.68651	0.05881	0.07019	0.06726	0.08863
auto	l5	BernoulliNaiveBayes	0.84059	0.75874	0.94395	0.74193	0.03536	0.03381	0.05548	0.05354
auto	l5	DecisionTree	0.74944	0.74670	0.74368	0.62394	0.08731	0.06063	0.12629	0.10417
auto	l5	GradientBoosting	0.79628	0.77077	0.82632	0.69392	0.05029	0.06409	0.05461	0.07905
auto	l5	NeuralNetwork	0.82968	0.76164	0.91421	0.73122	0.05834	0.04702	0.08801	0.08211
auto	l5	randomForest	0.82745	0.75104	0.92947	0.71243	0.04971	0.04663	0.06307	0.07625
auto	l6	svm-rbf	0.84625	0.77030	0.93947	0.75291	0.04106	0.03798	0.05212	0.06698
auto	l6	sgd	0.75669	0.43069	0.70000	0.72328	0.26613	0.37093	0.48305	0.01867
auto	l6	nearestCentroid	0.69075	0.87718	0.57737	0.63532	0.10371	0.08655	0.12040	0.10158
auto	l6	adaboost	0.81528	0.78074	0.85684	0.71944	0.05520	0.06186	0.07263	0.08259
auto	l6	BernoulliNaiveBayes	0.83552	0.77341	0.91395	0.74140	0.03205	0.03077	0.08012	0.04407
auto	l6	DecisionTree	0.76534	0.78194	0.77105	0.65317	0.09074	0.07873	0.13415	0.12102
auto	l6	GradientBoosting	0.79360	0.77373	0.81684	0.68968	0.05992	0.07905	0.05249	0.09679
auto	l6	NeuralNetwork	0.83422	0.77188	0.90895	0.73796	0.03976	0.04286	0.05133	0.06649
