Feature: f1                        Rank: 62,  Keep: False 
Feature: f2                        Rank: 5,  Keep: False 
Feature: f3                        Rank: 31,  Keep: False 
Feature: f4                        Rank: 54,  Keep: False 
Feature: f5                        Rank: 36,  Keep: False 
Feature: f6                        Rank: 51,  Keep: False 
Feature: f7                        Rank: 22,  Keep: False 
Feature: f8                        Rank: 93,  Keep: False 
Feature: f9                        Rank: 1,  Keep: True 
Feature: f10                       Rank: 57,  Keep: False 
Feature: f11                       Rank: 74,  Keep: False 
Feature: f12                       Rank: 66,  Keep: False 
Feature: f13                       Rank: 64,  Keep: False 
Feature: f14                       Rank: 64,  Keep: False 
Feature: f15                       Rank: 99,  Keep: False 
Feature: f16                       Rank: 69,  Keep: False 
Feature: f17                       Rank: 44,  Keep: False 
Feature: f18                       Rank: 9,  Keep: False 
Feature: f19                       Rank: 39,  Keep: False 
Feature: f20                       Rank: 76,  Keep: False 
Feature: f21                       Rank: 26,  Keep: False 
Feature: f22                       Rank: 24,  Keep: False 
Feature: f23                       Rank: 4,  Keep: False 
Feature: f24                       Rank: 96,  Keep: False 
Feature: f25                       Rank: 17,  Keep: False 
Feature: f26                       Rank: 62,  Keep: False 
Feature: f27                       Rank: 1,  Keep: True 
Feature: f28                       Rank: 73,  Keep: False 
Feature: f29                       Rank: 80,  Keep: False 
Feature: f30                       Rank: 3,  Keep: False 
Feature: f31                       Rank: 68,  Keep: False 
Feature: f32                       Rank: 39,  Keep: False 
Feature: f33                       Rank: 14,  Keep: False 
Feature: f34                       Rank: 54,  Keep: False 
Feature: f35                       Rank: 94,  Keep: False 
Feature: f36                       Rank: 48,  Keep: False 
Feature: f37                       Rank: 83,  Keep: False 
Feature: f38                       Rank: 57,  Keep: False 
Feature: f39                       Rank: 1,  Keep: True 
Feature: f40                       Rank: 90,  Keep: False 
Feature: f41                       Rank: 54,  Keep: False 
Feature: f42                       Rank: 14,  Keep: False 
Feature: f43                       Rank: 69,  Keep: False 
Feature: f44                       Rank: 72,  Keep: False 
Feature: f45                       Rank: 60,  Keep: False 
Feature: f46                       Rank: 26,  Keep: False 
Feature: f47                       Rank: 7,  Keep: False 
Feature: f48                       Rank: 10,  Keep: False 
Feature: f49                       Rank: 12,  Keep: False 
Feature: f50                       Rank: 88,  Keep: False 
Feature: f51                       Rank: 54,  Keep: False 
Feature: f52                       Rank: 34,  Keep: False 
Feature: f53                       Rank: 79,  Keep: False 
Feature: f54                       Rank: 1,  Keep: True 
Feature: f55                       Rank: 2,  Keep: False 
Feature: f56                       Rank: 14,  Keep: False 
Feature: f57                       Rank: 60,  Keep: False 
Feature: f58                       Rank: 50,  Keep: False 
Feature: f59                       Rank: 41,  Keep: False 
Feature: f60                       Rank: 44,  Keep: False 
Feature: f61                       Rank: 91,  Keep: False 
Feature: f62                       Rank: 34,  Keep: False 
Feature: f63                       Rank: 43,  Keep: False 
Feature: f64                       Rank: 94,  Keep: False 
Feature: f65                       Rank: 77,  Keep: False 
Feature: f66                       Rank: 20,  Keep: False 
Feature: f67                       Rank: 84,  Keep: False 
Feature: f68                       Rank: 85,  Keep: False 
Feature: f69                       Rank: 16,  Keep: False 
Feature: f70                       Rank: 18,  Keep: False 
Feature: f71                       Rank: 37,  Keep: False 
Feature: f72                       Rank: 29,  Keep: False 
Feature: f73                       Rank: 92,  Keep: False 
Feature: f74                       Rank: 85,  Keep: False 
Feature: f75                       Rank: 41,  Keep: False 
Feature: f76                       Rank: 26,  Keep: False 
Feature: f77                       Rank: 11,  Keep: False 
Feature: f78                       Rank: 97,  Keep: False 
Feature: f79                       Rank: 26,  Keep: False 
Feature: f80                       Rank: 31,  Keep: False 
Feature: f81                       Rank: 54,  Keep: False 
Feature: f82                       Rank: 97,  Keep: False 
Feature: f83                       Rank: 60,  Keep: False 
Feature: f84                       Rank: 46,  Keep: False 
Feature: f85                       Rank: 7,  Keep: False 
Feature: f86                       Rank: 88,  Keep: False 
Feature: f87                       Rank: 88,  Keep: False 
Feature: f88                       Rank: 75,  Keep: False 
Feature: f89                       Rank: 71,  Keep: False 
Feature: f90                       Rank: 81,  Keep: False 
Feature: f91                       Rank: 34,  Keep: False 
Feature: f92                       Rank: 6,  Keep: False 
Feature: f93                       Rank: 18,  Keep: False 
Feature: f94                       Rank: 67,  Keep: False 
Feature: f95                       Rank: 81,  Keep: False 
Feature: f96                       Rank: 23,  Keep: False 
Feature: f97                       Rank: 77,  Keep: False 
Feature: f98                       Rank: 39,  Keep: False 
Feature: f99                       Rank: 31,  Keep: False 
Feature: f100                      Rank: 49,  Keep: False 
Feature: f101                      Rank: 20,  Keep: False 
Feature: f102                      Rank: 46,  Keep: False 
