Feature: f1                        Rank: 9,  Keep: False 
Feature: f2                        Rank: 6,  Keep: False 
Feature: f3                        Rank: 3,  Keep: False 
Feature: f4                        Rank: 1,  Keep: True 
Feature: f5                        Rank: 14,  Keep: False 
Feature: f6                        Rank: 1,  Keep: True 
Feature: f7                        Rank: 1,  Keep: True 
Feature: f8                        Rank: 1,  Keep: True 
Feature: f9                        Rank: 1,  Keep: True 
Feature: f10                       Rank: 15,  Keep: False 
Feature: f11                       Rank: 2,  Keep: False 
Feature: f12                       Rank: 1,  Keep: True 
Feature: f13                       Rank: 1,  Keep: True 
Feature: f14                       Rank: 1,  Keep: True 
Feature: f15                       Rank: 21,  Keep: False 
Feature: f16                       Rank: 11,  Keep: False 
Feature: f17                       Rank: 2,  Keep: False 
Feature: f18                       Rank: 6,  Keep: False 
Feature: f19                       Rank: 2,  Keep: False 
Feature: f20                       Rank: 8,  Keep: False 
Feature: f21                       Rank: 17,  Keep: False 
Feature: f22                       Rank: 1,  Keep: True 
Feature: f23                       Rank: 3,  Keep: False 
Feature: f24                       Rank: 1,  Keep: True 
Feature: f25                       Rank: 17,  Keep: False 
Feature: f26                       Rank: 14,  Keep: False 
Feature: f27                       Rank: 1,  Keep: True 
Feature: f28                       Rank: 12,  Keep: False 
Feature: f29                       Rank: 1,  Keep: True 
Feature: f30                       Rank: 19,  Keep: False 
Feature: f31                       Rank: 8,  Keep: False 
Feature: f32                       Rank: 1,  Keep: True 
Feature: f33                       Rank: 1,  Keep: True 
Feature: f34                       Rank: 1,  Keep: True 
Feature: f35                       Rank: 21,  Keep: False 
Feature: f36                       Rank: 17,  Keep: False 
Feature: f37                       Rank: 1,  Keep: True 
Feature: f38                       Rank: 4,  Keep: False 
Feature: f39                       Rank: 1,  Keep: True 
Feature: f40                       Rank: 10,  Keep: False 
