mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l1	sgd	0.83474	0.86200	0.78095	0.66282	0.06907	0.03329	0.15746	0.11135
auto	l1	nearestCentroid	0.59819	0.82160	0.47468	0.46653	0.07573	0.04527	0.08601	0.07222
auto	l1	adaboost	0.88956	0.84868	0.93548	0.80314	0.01854	0.01434	0.03753	0.02953
auto	l1	BernoulliNaiveBayes	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l1	DecisionTree	0.84349	0.85436	0.83780	0.75033	0.04118	0.01618	0.06105	0.05339
auto	l1	GradientBoosting	0.90075	0.85318	0.95465	0.82147	0.01697	0.01816	0.03065	0.02868
auto	l1	NeuralNetwork	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l1	randomForest	0.91622	0.85091	0.99762	0.84588	0.00868	0.01054	0.00753	0.01372
auto	l2	svm-rbf	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l2	sgd	0.76271	0.83815	0.79501	0.61624	0.12147	0.05388	0.16061	0.15495
auto	l2	nearestCentroid	0.61261	0.82095	0.49355	0.48057	0.09322	0.06199	0.10073	0.08944
auto	l2	adaboost	0.89457	0.84967	0.94512	0.81147	0.02452	0.01474	0.04205	0.03972
auto	l2	BernoulliNaiveBayes	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l2	DecisionTree	0.86208	0.86178	0.86609	0.76882	0.04083	0.02628	0.05180	0.04170
auto	l2	GradientBoosting	0.88835	0.84657	0.93537	0.80131	0.02947	0.02164	0.04833	0.04706
auto	l2	NeuralNetwork	0.91383	0.85016	0.98798	0.84180	0.01216	0.01286	0.01711	0.02093
auto	l2	randomForest	0.91887	0.84966	1.00000	0.84996	0.00546	0.00911	0.00000	0.00932
auto	l3	svm-rbf	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l3	sgd	0.82819	0.84170	0.74936	0.66902	0.09429	0.04706	0.21249	0.12427
auto	l3	nearestCentroid	0.66003	0.86886	0.53473	0.53327	0.03939	0.05649	0.04930	0.05061
auto	l3	adaboost	0.89633	0.84560	0.95465	0.81331	0.02570	0.01288	0.04951	0.04204
auto	l3	BernoulliNaiveBayes	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
auto	l3	DecisionTree	0.83818	0.85247	0.81370	0.71392	0.04392	0.02071	0.05978	0.04767
auto	l3	GradientBoosting	0.89519	0.84707	0.95000	0.81135	0.01556	0.01245	0.03628	0.02548
auto	l3	NeuralNetwork	0.91768	0.84963	0.99762	0.84796	0.00772	0.00976	0.00753	0.01308
auto	l3	randomForest	0.91887	0.84903	1.00000	0.84996	0.00546	0.00898	0.00000	0.00932
auto	l4	svm-rbf	0.91887	0.84996	1.00000	0.84996	0.00546	0.00932	0.00000	0.00932
