mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l1	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	nearestCentroid	0.25468	0.16674	0.55239	0.49978	0.04321	0.03449	0.08279	0.07452
auto	l1	adaboost	0.00000	0.00000	0.00000	0.84613	0.00000	0.00000	0.00000	0.00137
auto	l1	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	DecisionTree	0.18800	0.19841	0.21621	0.74626	0.05123	0.03470	0.06923	0.01714
auto	l1	GradientBoosting	0.00185	0.02000	0.00097	0.84643	0.00586	0.06325	0.00307	0.00134
auto	l1	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l1	randomForest	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	nearestCentroid	0.28247	0.18527	0.60674	0.53055	0.04439	0.03026	0.12896	0.05954
auto	l2	adaboost	0.00757	0.16667	0.00387	0.84598	0.01321	0.27217	0.00678	0.00222
auto	l2	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	DecisionTree	0.19710	0.18929	0.19767	0.74153	0.04605	0.02986	0.05272	0.01160
auto	l2	GradientBoosting	0.00757	0.25000	0.00387	0.84643	0.01316	0.42492	0.00678	0.00151
auto	l2	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l2	randomForest	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
auto	l3	nearestCentroid	0.26631	0.17482	0.56887	0.52063	0.04240	0.03002	0.10432	0.06063
