	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	0.00507	0.03514	0.00827	0.02393	0.005	0.03514	0.00827	0.02393	0.005	0.00507	0.00827	0.02393	0.005	0.00507	0.03514	0.02393	0.005	0.00507	0.03514	0.00827	0
1	-0.01287	-0.00022	-0.00335	0.01562	0.02889	-0.00022	-0.00335	0.01562	0.02889	-0.01287	-0.00335	0.01562	0.02889	-0.01287	-0.00022	0.01562	0.02889	-0.01287	-0.00022	-0.00335	0
2	0.0249	-0.00361	-0.01334	-0.01197	-0.00644	-0.00361	-0.01334	-0.01197	-0.00644	0.0249	-0.01334	-0.01197	-0.00644	0.0249	-0.00361	-0.01197	-0.00644	0.0249	-0.00361	-0.01334	0
3	0.00037	0.0047	0.0247	-0.01175	-0.00951	0.0047	0.0247	-0.01175	-0.00951	0.00037	0.0247	-0.01175	-0.00951	0.00037	0.0047	-0.01175	-0.00951	0.00037	0.0047	0.0247	0
4	0.00399	0.00928	0.00741	0.01569	0.02901	0.00928	0.00741	0.01569	0.02901	0.00399	0.00741	0.01569	0.02901	0.00399	0.00928	0.01569	0.02901	0.00399	0.00928	0.00741	0
5	-0.00184	-0.01262	0.02297	-0.00293	0.00918	-0.01262	0.02297	-0.00293	0.00918	-0.00184	0.02297	-0.00293	0.00918	-0.00184	-0.01262	-0.00293	0.00918	-0.00184	-0.01262	0.02297	0
6	-0.00109	0.02974	0.00242	0.02818	-0.02414	0.02974	0.00242	0.02818	-0.02414	-0.00109	0.00242	0.02818	-0.02414	-0.00109	0.02974	0.02818	-0.02414	-0.00109	0.02974	0.00242	0
7	-0.02452	-0.00586	-0.00705	-0.02583	-0.03231	-0.00586	-0.00705	-0.02583	-0.03231	-0.02452	-0.00705	-0.02583	-0.03231	-0.02452	-0.00586	-0.02583	-0.03231	-0.02452	-0.00586	-0.00705	0
8	0.0134	-0.00318	0.00402	-0.0205	-0.0146	-0.00318	0.00402	-0.0205	-0.0146	0.0134	0.00402	-0.0205	-0.0146	0.0134	-0.00318	-0.0205	-0.0146	0.0134	-0.00318	0.00402	0
9	-0.01029	0.00524	-0.0033	0.0335	0.01949	0.00524	-0.0033	0.0335	0.01949	-0.01029	-0.0033	0.0335	0.01949	-0.01029	0.00524	0.0335	0.01949	-0.01029	0.00524	-0.0033	0
10	0.01121	-0.01366	0.0089	-0.01247	-0.02249	-0.01366	0.0089	-0.01247	-0.02249	0.01121	0.0089	-0.01247	-0.02249	0.01121	-0.01366	-0.01247	-0.02249	0.01121	-0.01366	0.0089	0
11	0.00208	-0.01262	-0.00527	-0.02198	0.00346	-0.01262	-0.00527	-0.02198	0.00346	0.00208	-0.00527	-0.02198	0.00346	0.00208	-0.01262	-0.02198	0.00346	0.00208	-0.01262	-0.00527	0
12	-0.01669	-0.01698	0.01574	-0.02051	0.00218	-0.01698	0.01574	-0.02051	0.00218	-0.01669	0.01574	-0.02051	0.00218	-0.01669	-0.01698	-0.02051	0.00218	-0.01669	-0.01698	0.01574	0
13	0.0273	-0.01653	-0.01255	-0.01436	-0.00604	-0.01653	-0.01255	-0.01436	-0.00604	0.0273	-0.01255	-0.01436	-0.00604	0.0273	-0.01653	-0.01436	-0.00604	0.0273	-0.01653	-0.01255	0
14	-0.00239	0.01879	-0.01791	-0.01579	-0.00149	0.01879	-0.01791	-0.01579	-0.00149	-0.00239	-0.01791	-0.01579	-0.00149	-0.00239	0.01879	-0.01579	-0.00149	-0.00239	0.01879	-0.01791	0
15	0.00463	0.02596	0.00932	0.01004	-0.00163	0.02596	0.00932	0.01004	-0.00163	0.00463	0.00932	0.01004	-0.00163	0.00463	0.02596	0.01004	-0.00163	0.00463	0.02596	0.00932	0
16	0.00489	0.02245	0.0157	-0.0223	0.02401	0.02245	0.0157	-0.0223	0.02401	0.00489	0.0157	-0.0223	0.02401	0.00489	0.02245	-0.0223	0.02401	0.00489	0.02245	0.0157	0
17	-0.00447	0.02565	0.00638	0.00946	-0.00356	0.02565	0.00638	0.00946	-0.00356	-0.00447	0.00638	0.00946	-0.00356	-0.00447	0.02565	0.00946	-0.00356	-0.00447	0.02565	0.00638	0
18	-0.00308	0.01273	-0.00703	0.01168	0.00967	0.01273	-0.00703	0.01168	0.00967	-0.00308	-0.00703	0.01168	0.00967	-0.00308	0.01273	0.01168	0.00967	-0.00308	0.01273	-0.00703	0
19	0.01024	0.016	-0.00146	0.00193	0.00957	0.016	-0.00146	0.00193	0.00957	0.01024	-0.00146	0.00193	0.00957	0.01024	0.016	0.00193	0.00957	0.01024	0.016	-0.00146	0
20	0.00767	0.04793	0.0111	0.03195	0.00168	0.04793	0.0111	0.03195	0.00168	0.00767	0.0111	0.03195	0.00168	0.00767	0.04793	0.03195	0.00168	0.00767	0.04793	0.0111	0
21	0.00679	-0.00239	0.01364	0.01408	0.03411	-0.00239	0.01364	0.01408	0.03411	0.00679	0.01364	0.01408	0.03411	0.00679	-0.00239	0.01408	0.03411	0.00679	-0.00239	0.01364	0
22	-0.00229	-0.0037	-0.00444	0.00486	-0.00057	-0.0037	-0.00444	0.00486	-0.00057	-0.00229	-0.00444	0.00486	-0.00057	-0.00229	-0.0037	0.00486	-0.00057	-0.00229	-0.0037	-0.00444	0
23	0.0002	0.04775	0.01276	0.03442	0.00238	0.04775	0.01276	0.03442	0.00238	0.0002	0.01276	0.03442	0.00238	0.0002	0.04775	0.03442	0.00238	0.0002	0.04775	0.01276	0
24	-0.00447	0.02565	0.00638	0.00946	-0.00356	0.02565	0.00638	0.00946	-0.00356	-0.00447	0.00638	0.00946	-0.00356	-0.00447	0.02565	0.00946	-0.00356	-0.00447	0.02565	0.00638	0
25	-0.01133	0.00994	-0.01299	-0.02308	0.01561	0.00994	-0.01299	-0.02308	0.01561	-0.01133	-0.01299	-0.02308	0.01561	-0.01133	0.00994	-0.02308	0.01561	-0.01133	0.00994	-0.01299	0
26	-0.00524	-0.0312	0.0087	0.00717	-0.01344	-0.0312	0.0087	0.00717	-0.01344	-0.00524	0.0087	0.00717	-0.01344	-0.00524	-0.0312	0.00717	-0.01344	-0.00524	-0.0312	0.0087	0
27	0.00679	-0.00239	0.01364	0.01408	0.03411	-0.00239	0.01364	0.01408	0.03411	0.00679	0.01364	0.01408	0.03411	0.00679	-0.00239	0.01408	0.03411	0.00679	-0.00239	0.01364	0
