	f1	f2	f3	f4	f5	preds_binary
0	0.00613	-0.00803	-0.01418	-0.01013	0.02373	0
1	0.00098	-0.0187	0.00214	-0.00497	0.00036	0
2	-0.00296	-0.03038	-0.02943	0.00014	-0.01073	0
3	0.01354	-0.00054	-0.0042	0.02551	-0.02931	0
4	0.03311	-0.00198	0.00216	-0.00304	0.0082	0
5	-0.00428	0.00084	0.00789	-0.00153	-0.00163	0
6	0.0133	0.0125	0.00658	0.01368	0.01682	0
7	0.03117	-9e-05	-0.00561	0.01474	0.00124	0
8	-0.00127	0.01913	-0.00343	0.00337	0.0176	0
9	0.01639	0.00999	0.06298	-0.00152	-0.02027	0
10	-0.00284	0.01292	-0.00868	-0.00234	-0.00791	0
11	0.01012	0.00855	0.00231	-0.00142	0.02314	0
12	0.0027	-0.01454	0.04032	0.01732	0.00198	0
13	-0.00527	-0.03441	-0.02835	0.00306	-0.01493	0
14	-0.0021	0.00879	-0.00151	-0.00829	0.00608	0
15	0.02841	0.00031	0.03515	0.00389	0.01747	0
16	-0.01149	-0.00475	-0.02616	0.01086	-0.00513	0
17	0.0097	0.00539	-0.0023	0.0134	0.00063	0
18	0.00577	0.00548	0.04467	-0.00736	-0.01693	0
19	-0.01536	-0.00646	-0.00623	0.00012	-0.00404	0
20	0.01	0.00561	0.01963	0.02045	-0.01931	0
21	0.0086	0.00418	0.01833	0.02358	-0.00027	0
22	0.01931	-0.00219	0.01447	0.01296	0.00504	0
23	0.00662	0.0007	0.01769	0.02369	-0.00799	0
24	0.0097	0.00539	-0.0023	0.0134	0.00063	0
25	-0.00337	-0.01719	0.0076	0.03137	-0.01446	0
26	0.01771	0.00077	-0.00776	0.00033	0.00813	0
27	0.0086	0.00418	0.01833	0.02358	-0.00027	0
28	0.01167	0.00692	0.0073	0.01378	0.01184	0
29	0.01065	-0.00634	-0.00775	-0.0096	0.02278	0
30	0.01316	-0.00968	0.01653	-0.00961	-0.00166	0
31	-0.01879	-0.00547	0.02765	-0.0045	-0.0069	0
32	-0.00712	0.00599	0.02741	0.00289	0.0131	0
33	-0.00064	0.00473	0.00727	0.00174	0.00375	0
34	-0.01635	0.01424	0.02415	0.01179	0.00047	0
35	0.0328	-0.00783	0.00527	0.00227	0.01256	0
36	0.02971	-0.00815	0.00489	-0.0002	0.01088	0
37	0.0087	0.00648	0.01932	0.01127	-0.00847	0
38	-0.01565	0.00618	0.01617	0.00326	0.02315	0
39	0.01526	0.0002	0.04788	-0.00328	-0.01906	0
40	-0.02259	0.0097	-0.0066	0.00195	-0.01133	0
41	-0.01141	0.03666	0.03665	0.01171	-0.01248	0
42	0.0133	0.0125	0.00658	0.01368	0.01682	0
43	-0.00132	0.01575	0.00788	0.01009	-0.00395	0
44	0.00541	0.01419	-0.00035	0.0113	-0.00073	0
45	0.01871	-0.01231	0.00448	5e-05	0.01665	0
46	-0.01648	0.00765	0.01756	-0.00449	-0.01659	0
47	0.02032	0.00539	-0.00127	0.00527	0.02287	0
48	0.00168	0.01459	-0.0056	0.00784	0.02901	0
49	0.00732	-0.00496	0.00862	-0.01353	-0.00477	0
50	0.01673	0.00703	-0.02224	0.00755	0.0105	0
51	-0.00276	0.00519	0.00733	0.00546	0.00722	0
52	-0.00435	0.00205	0.02725	0.01104	-0.01048	0
53	-0.01455	0.00355	-0.00784	0.00095	-0.00342	0
54	-0.01298	-0.00662	-0.00529	-0.00118	-0.01276	0
55	-0.01744	0.00272	-0.00785	-0.0045	-0.00296	0
56	0.02355	0.00214	-0.00202	0.0009	0.00508	0
57	0.01121	0.01265	-0.01406	0.00913	0.0075	0
58	-0.00378	0.00062	0.03644	-0.00207	-0.0039	0
59	0.00705	0.01923	0.03451	0.00658	0.01766	0
60	-0.00471	0.01514	0.03138	-0.00567	-0.00622	0
61	0.03093	0.00456	-0.00044	0.00532	0.01851	0
62	-0.0007	0.00354	0.01689	0.01977	0.00983	0
63	0.00713	-0.00117	0.00242	0.01057	-0.01354	0
64	0.02222	-0.00135	0.00095	-0.00721	0.01133	0
65	0.02436	0.01038	0.02524	0.00306	-0.00552	0
66	-0.00385	0.00218	0.00285	-0.00218	-0.00353	0
67	0.00703	0.0133	0.03583	0.00869	-0.00929	0
68	0.00506	0.01663	-0.0049	0.0032	0.01569	0
69	0.0032	0.0022	0.00749	0.01555	0.01145	0
70	0.00351	6e-05	0.00668	0.02798	-0.01601	0
71	-0.0007	0.00354	0.01689	0.01977	0.00983	0
72	-0.01348	0.01222	0.03487	0.00711	3e-05	0
73	0.00327	0.00728	0.00752	0.00898	-0.0014	0
74	0.01416	-0.0017	-0.00685	0.02733	-0.02785	0
75	0.0342	-0.00165	0.01119	0.0024	0.00226	0
76	0.0086	0.00418	0.01833	0.02358	-0.00027	0
77	-0.00975	0.01292	-0.00943	-0.00276	-0.00978	0
78	0.01218	0.00874	-0.00256	-0.00825	0.0053	0
