	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
0	0.01387	0.02594	0.00317	-0.00082	0.00218	0.02594	0.00317	-0.00082	0.00218	0.01387	0.00317	-0.00082	0.00218	0.01387	0.02594	-0.00082	0.00218	0.01387	0.02594	0.00317	0
1	0.00644	0.01258	0.00775	-0.00069	0.00939	0.01258	0.00775	-0.00069	0.00939	0.00644	0.00775	-0.00069	0.00939	0.00644	0.01258	-0.00069	0.00939	0.00644	0.01258	0.00775	0
2	0.00627	0.00959	0.00459	0.00315	0.0066	0.00959	0.00459	0.00315	0.0066	0.00627	0.00459	0.00315	0.0066	0.00627	0.00959	0.00315	0.0066	0.00627	0.00959	0.00459	0
3	0.00995	0.01236	0.00718	-0.00148	0.00021	0.01236	0.00718	-0.00148	0.00021	0.00995	0.00718	-0.00148	0.00021	0.00995	0.01236	-0.00148	0.00021	0.00995	0.01236	0.00718	0
4	0.0028	0.00859	0.00554	-0.00679	0.00227	0.00859	0.00554	-0.00679	0.00227	0.0028	0.00554	-0.00679	0.00227	0.0028	0.00859	-0.00679	0.00227	0.0028	0.00859	0.00554	0
5	0.01086	0.00473	0.00485	-0.00086	-0.00251	0.00473	0.00485	-0.00086	-0.00251	0.01086	0.00485	-0.00086	-0.00251	0.01086	0.00473	-0.00086	-0.00251	0.01086	0.00473	0.00485	0
6	0.00517	0.00602	0.00835	0.00174	0.0007	0.00602	0.00835	0.00174	0.0007	0.00517	0.00835	0.00174	0.0007	0.00517	0.00602	0.00174	0.0007	0.00517	0.00602	0.00835	0
7	0.00386	0.00839	0.00387	-0.00053	0.00239	0.00839	0.00387	-0.00053	0.00239	0.00386	0.00387	-0.00053	0.00239	0.00386	0.00839	-0.00053	0.00239	0.00386	0.00839	0.00387	0
8	0.00431	0.00449	0.0039	-0.00242	0.00245	0.00449	0.0039	-0.00242	0.00245	0.00431	0.0039	-0.00242	0.00245	0.00431	0.00449	-0.00242	0.00245	0.00431	0.00449	0.0039	0
9	0.00297	0.00854	0.01115	-0.00664	0.00485	0.00854	0.01115	-0.00664	0.00485	0.00297	0.01115	-0.00664	0.00485	0.00297	0.00854	-0.00664	0.00485	0.00297	0.00854	0.01115	0
10	-0.00368	0.01059	0.00441	0.001	0.0005	0.01059	0.00441	0.001	0.0005	-0.00368	0.00441	0.001	0.0005	-0.00368	0.01059	0.001	0.0005	-0.00368	0.01059	0.00441	0
11	0.00188	0.00853	0.01239	-0.00248	0.0091	0.00853	0.01239	-0.00248	0.0091	0.00188	0.01239	-0.00248	0.0091	0.00188	0.00853	-0.00248	0.0091	0.00188	0.00853	0.01239	0
12	0.00699	0.00247	0.00291	-0.00287	0.0043	0.00247	0.00291	-0.00287	0.0043	0.00699	0.00291	-0.00287	0.0043	0.00699	0.00247	-0.00287	0.0043	0.00699	0.00247	0.00291	0
