	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24
0	0.09869	71.23034	-2.54007	0.00068	0.04728	-0.00025	0.02122	-307.06804	-0.88273	-0.00247	-0.03155	-0.00136	-0.1669	-86.86704	2.54255	0.00033	-0.01294	0.00105	0.08529	-226.33252	-1.92435	-0.00115	-0.05535	-0.00162
1	0.04256	215.40816	1.48507	0.00231	0.05377	-0.00079	-0.11672	-128.9296	0.62674	-0.00111	-0.0115	0.00016	-0.19536	-258.9078	1.7339	-0.00284	-0.08171	0.00047	0.1494	-262.68011	-1.53141	-0.00164	-0.02499	-0.00064
2	0.06629	38.51307	0.6796	0.0003	0.01615	-0.00023	-0.15158	-197.19589	-0.86816	-0.00167	-0.01913	-0.00066	0.00548	-136.33587	-1.70229	-0.00184	-0.01281	0.00084	-0.16655	-321.86391	-0.95033	-0.00245	-0.03917	-0.00113
3	-0.02752	19.56632	-0.72656	0.00041	0.01957	-0.00043	-0.10747	-113.43249	-1.45415	-0.00046	-0.01944	-0.0007	-0.16414	386.80351	-0.39278	0.00209	0.04263	-0.00124	0.00321	462.25031	0.62131	0.00257	0.06352	-0.00077
4	-0.81539	269.30455	-2.17036	0.00241	0.03201	-0.00215	0.90986	-1471.03146	1.75417	-0.00957	-0.18155	-0.00224	-1.17209	-653.90287	-2.7765	-0.00426	-0.14817	-0.00297	0.99774	915.23688	3.775	0.00282	0.13508	0.00179
5	0.88329	44.92302	1.12313	0.00135	0.05621	-0.00059	-0.22966	-540.94593	-4.00063	-0.00491	-0.1105	0.00025	-0.65079	-156.86956	-1.17382	-0.00245	-0.11438	0.00051	-0.48597	174.50507	0.89125	0.00175	0.01323	7e-05
6	-0.21163	-144.09198	0.11773	-0.00078	-0.04052	0.00017	-0.00616	-203.73501	-1.46821	-0.00049	-0.01136	-0.00034	-0.05491	44.07039	-0.32117	-4e-05	-0.00672	-0.00035	-0.35375	17.48681	-1.25262	0.00052	-0.00889	0.0003
7	-0.06645	220.24918	1.57911	0.00134	0.01989	-0.00029	-0.15699	-686.95697	0.3078	-0.00422	-0.13662	-4e-05	0.20221	-195.02869	0.08083	-0.00029	-0.00303	-0.00035	0.15588	393.47294	0.25424	0.00169	0.05791	-0.00026
8	0.12373	500.01123	2.93955	0.00251	0.04698	0.00088	-0.39661	158.88511	1.32664	0.00056	0.00398	-0.00046	-0.21619	-95.4852	0.06464	-0.00058	-0.01052	-0.00062	-0.23127	2.77326	-1.7738	0.00029	0.00484	-0.00105
9	0.04035	-5.39908	1.72489	-0.0009	-0.02056	-0.00055	-0.73492	-252.10764	-3.90895	-0.00222	-0.05584	-0.00092	-0.01964	297.12156	-2.99308	0.00297	0.08079	-0.00049	-0.15097	183.68111	1.50149	0.00248	0.02583	-0.00038
10	-0.74785	-707.30388	0.0032	-0.00798	-0.21479	0.00335	-0.11222	270.16184	-0.5809	0.00454	0.07645	-0.00453	-0.86734	-1390.24459	-0.16061	-0.01049	-0.34207	-0.00747	1.59049	864.99517	0.44224	0.01009	0.32452	-0.0025
11	0.2701	-55.84721	2.18529	-0.00025	-0.00594	2e-05	-0.60003	-1.98432	-5.73703	0.00017	0.00722	-0.0002	-0.18945	-41.81649	-2.9913	-6e-05	0.00249	-6e-05	0.18783	-83.90798	1.34269	-0.0004	-0.0208	-0.00015
12	-0.16019	-508.68125	-4.29907	-0.0045	-0.05436	-0.00068	-0.05283	-388.04783	-0.29579	-0.00306	-0.05975	-0.00024	-0.15333	790.99045	-1.37067	0.00571	0.10389	-0.00107	0.21643	24.13333	2.24979	-0.00058	-0.00145	-0.00091
13	0.07813	119.11985	-0.1857	0.00135	0.05761	-0.00092	0.36203	177.1216	-1.19237	0.00169	0.07149	0.00053	0.21719	233.96382	0.30427	0.0015	0.05683	-0.00096	0.0611	87.7072	0.54277	0.00069	0.01975	-0.00041
14	-0.12917	-235.41021	-1.96021	-0.00077	-0.02293	-0.00033	-0.38751	-706.23062	-5.88062	-0.0023	-0.06878	-0.00098	-0.05472	-921.89188	5.31812	-0.0058	-0.20738	-0.00324	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0166	-145.15511	-0.91501	-0.00123	-0.00924	-0.00029	-0.22495	-742.52951	-1.66333	-0.00532	-0.10244	-4e-05	0.21613	9.59622	2.89102	-0.00127	-0.0279	0.0002	-0.45413	398.12212	-5.45505	0.00495	0.07483	-0.00035
16	-0.29701	-117.41786	-0.24819	-0.00213	-0.06188	0.00388	0.03587	300.24846	0.81989	0.00185	0.05472	0.00021	-0.30679	-332.2925	-1.8704	-0.00151	-0.01762	-0.00211	-0.54961	-329.23273	-1.72123	-0.00306	-0.08552	-0.00204
17	0.51285	-35.44808	2.91087	0.00095	0.02049	0.00012	-0.15205	192.82947	-0.97861	0.00186	0.04959	-0.00076	-0.5041	-55.07748	-3.50195	-0.00016	-0.00819	-0.00072	-1.17598	65.28803	-4.68863	-0.00109	-0.03087	-0.00056
18	0.07066	-250.64594	-0.7125	-0.00284	-0.06089	-0.00256	0.03183	-955.88929	-0.50429	-0.00558	-0.13538	-0.00363	0.00438	1374.84531	2.35833	0.00563	0.18827	0.00539	-0.11524	-815.73158	-2.24	-0.00622	-0.11146	-0.00266
