	f55	f31	f21	preds_binary
0	-0.41498	0.30756	-1.2322	0
1	0.29206	0.3226	-2.65178	1
2	-0.28096	-0.27935	1.32731	0
3	-0.47986	0.82345	0.27182	1
4	-0.1459	-0.08516	-1.54076	1
5	0.10152	0.06811	-2.87105	1
6	-0.01063	-0.0667	0.17895	0
7	0.11761	-0.07246	-3.62705	1
8	0.10325	-0.0902	-0.19716	0
9	0.09643	-0.17721	-1.39767	0
10	-0.04292	0.02912	0.78415	1
11	-0.10385	-0.01342	-0.01171	0
12	-0.24069	-0.27384	-1.01713	1
13	-0.1009	-0.32078	0.90985	1
14	-0.78766	-0.26303	-1.00406	1
15	0.04088	-0.10275	-1.23982	0
16	-0.51704	0.12747	1.70489	1
17	0.15211	-0.03135	-0.15916	0
18	-0.42932	-0.13397	-2.55408	1
19	-0.96437	0.35674	-2.5898	1
20	0.13122	-0.23438	-1.87335	1
21	-0.18081	-0.25585	1.69949	1
22	-0.01868	0.00116	-1.32167	1
23	0.42617	-0.26047	-2.36055	1
24	0.15211	-0.03135	-0.15916	0
25	0.15299	-0.13528	-1.59204	1
26	-0.612	0.40091	-3.17022	1
27	-0.18081	-0.25585	1.69949	1
28	-0.0415	-0.06735	-0.07178	0
29	-0.44523	0.30679	-2.38662	1
30	-0.03592	-0.43076	-0.81116	1
31	0.36179	0.10897	1.64939	1
32	0.04353	-0.09077	1.1706	0
33	-0.00108	-0.12008	1.17263	0
34	-0.08699	-0.08159	2.13974	1
35	-0.38306	-0.08763	-0.42644	1
36	-0.34545	-0.07297	-0.50931	1
37	-0.14501	0.07344	-0.30152	1
38	0.17613	-0.05513	1.79103	1
39	-0.02738	-0.27291	-2.22826	1
40	-0.55519	-0.55075	1.07842	0
41	-0.01476	0.06625	-0.93742	1
42	-0.01063	-0.0667	0.17895	0
43	-0.34327	0.0538	1.33144	0
44	-0.1696	-0.24536	0.51141	1
45	0.79284	-0.47977	-3.54031	1
46	0.84927	0.24917	1.86278	1
47	0.06617	0.06672	1.24284	0
48	-0.03274	0.13672	0.80418	1
49	-0.21588	0.26692	1.00939	0
50	-0.11928	-0.20119	-0.09887	0
51	0.25156	0.27059	1.08626	0
52	0.09932	0.43286	-0.88511	0
53	0.36821	-0.17189	0.05871	0
54	-0.38484	0.06164	-3.11741	1
55	-1.32099	0.32022	-2.68859	1
56	-0.34613	0.36913	-1.80404	1
57	-0.24774	-0.27505	-0.00495	0
58	0.07083	-0.11629	0.0606	0
59	0.15086	-0.0062	-0.54087	0
60	0.4749	-0.23805	-0.68019	1
61	0.36818	-0.15791	-3.73251	1
62	-0.3003	-0.31975	1.9564	1
63	-0.02753	-0.12346	0.01903	0
64	-0.2159	-0.10299	-0.65419	1
65	-0.15537	0.11602	-3.0397	1
66	-0.08852	-0.173	-2.22771	1
67	0.20066	-0.14972	0.2858	0
68	-0.02346	-0.21655	-0.12828	0
69	-0.07317	-0.36807	0.89905	1
70	0.4795	-0.29485	-1.97095	1
71	-0.3003	-0.31975	1.9564	1
72	0.41319	0.23612	1.71444	1
73	-0.46186	0.13533	1.72731	1
74	-0.53592	0.9505	-0.26922	1
75	-0.04852	-0.10373	-1.50095	1
76	-0.18081	-0.25585	1.69949	1
77	-0.0471	-0.05641	0.30309	0
78	-0.69083	-0.27431	-1.38147	1
