protein	class	lag	features
VO:_VO_0010857	1	l1	-0.00119,0.00193,0.00144,0.00304,-0.00141
VO:_VO_0010857	1	l2	-0.00383,0.00655,0.00561,0.00283,0.00094
VO:_VO_0010857	1	l3	-0.00200,0.00392,0.00220,0.00344,-0.00004
VO:_VO_0010857	1	l4	0.00462,0.00360,0.00347,0.00536,0.00099
VO:_VO_0010857	1	l5	-0.00495,0.00336,0.00354,0.00423,-0.00014
VO:_VO_0010857	1	l6	-0.00280,0.00061,0.00414,0.00373,-0.00014
VO:_VO_0010857	1	l7	0.00343,0.00362,0.00461,0.00369,-0.00129
VO:_VO_0010857	1	l8	0.00661,0.00190,0.00258,0.00605,-0.00066
VO:_VO_0010872	1	l1	-0.00043,0.00107,0.00306,0.00361,-0.00031
VO:_VO_0010872	1	l2	0.00298,0.00462,0.00165,0.00534,0.00044
VO:_VO_0010872	1	l3	-0.00174,-0.00032,-0.00004,0.00412,0.00039
VO:_VO_0010872	1	l4	-0.00036,0.00099,0.00247,0.00432,-0.00115
VO:_VO_0010872	1	l5	-0.00219,-0.00075,0.00369,0.00498,0.00366
VO:_VO_0010872	1	l6	-0.00055,0.00226,0.00218,0.00392,-0.00168
VO:_VO_0010872	1	l7	0.00511,0.00276,0.00238,0.00427,-0.00050
VO:_VO_0010872	1	l8	0.00316,-0.00135,0.00261,0.00437,-0.00049
VO:_VO_0010873	1	l1	-0.00119,0.00193,0.00144,0.00304,-0.00141
VO:_VO_0010873	1	l2	-0.00383,0.00655,0.00561,0.00283,0.00094
VO:_VO_0010873	1	l3	-0.00200,0.00392,0.00220,0.00344,-0.00004
VO:_VO_0010873	1	l4	0.00462,0.00360,0.00347,0.00536,0.00099
VO:_VO_0010873	1	l5	-0.00495,0.00336,0.00354,0.00423,-0.00014
VO:_VO_0010873	1	l6	-0.00280,0.00061,0.00414,0.00373,-0.00014
VO:_VO_0010873	1	l7	0.00343,0.00362,0.00461,0.00369,-0.00129
VO:_VO_0010873	1	l8	0.00661,0.00190,0.00258,0.00605,-0.00066
VO:_VO_0010900	1	l1	-0.00461,-0.00026,0.00161,0.00132,-0.00011
VO:_VO_0010900	1	l2	-0.00540,-0.00103,0.00059,0.00510,0.00147
VO:_VO_0010900	1	l3	0.00091,0.00161,0.00156,0.00177,0.00031
VO:_VO_0010900	1	l4	-0.00006,0.00052,0.00250,0.00336,0.00034
VO:_VO_0010900	1	l5	-0.00131,-0.00020,0.00161,0.00301,0.00099
VO:_VO_0010900	1	l6	0.00028,-0.00001,0.00206,0.00443,-0.00040
VO:_VO_0010900	1	l7	-0.00014,-0.00061,0.00053,0.00390,0.00175
VO:_VO_0010900	1	l8	0.00025,-0.00047,0.00037,0.00448,0.00005
VO:_VO_0010903	1	l1	-0.00452,-0.00032,0.00156,0.00127,0.00002
VO:_VO_0010903	1	l2	-0.00533,-0.00098,0.00044,0.00511,0.00146
VO:_VO_0010903	1	l3	0.00079,0.00162,0.00166,0.00176,0.00028
VO:_VO_0010903	1	l4	0.00003,0.00040,0.00250,0.00339,0.00028
VO:_VO_0010903	1	l5	-0.00134,-0.00027,0.00153,0.00295,0.00105
VO:_VO_0010903	1	l6	0.00018,-0.00002,0.00203,0.00439,-0.00047
VO:_VO_0010903	1	l7	-0.00008,-0.00060,0.00068,0.00383,0.00179
VO:_VO_0010903	1	l8	0.00017,-0.00049,0.00064,0.00447,0.00004
VO:_VO_0010904	1	l1	-0.00141,0.00088,-0.00082,0.00319,0.00089
VO:_VO_0010904	1	l2	-0.00499,0.00152,0.00061,0.00213,0.00109
VO:_VO_0010904	1	l3	-0.00397,-0.00063,0.00072,0.00143,-0.00086
VO:_VO_0010904	1	l4	0.00061,0.00002,0.00131,0.00188,-0.00173
VO:_VO_0010904	1	l5	-0.00225,-0.00297,0.00095,0.00419,-0.00105
VO:_VO_0010904	1	l6	0.00018,-0.00070,0.00047,0.00321,-0.00003
VO:_VO_0010904	1	l7	0.00153,-0.00263,0.00246,0.00531,0.00032
