	f1	f2	f3	f4	f5	f6	preds_binary
0	-0.05238	17.19734	-0.31637	-7e-05	0.00038	0.00081	0
1	-0.02099	-129.03175	0.19499	-0.00113	-0.02931	0.00014	1
2	-0.07948	35.14751	-0.26382	-2e-05	0.00123	-8e-05	0
3	-0.08385	-72.77387	-0.37809	-0.00087	-0.01379	0.00039	1
4	-0.00324	64.66421	0.30457	0.00019	0.00444	-0.00029	0
5	-0.05877	178.54917	-0.36796	0.00136	0.02652	7e-05	0
6	-0.02087	-228.33146	-0.26429	-0.00172	-0.04387	0.00023	1
7	-0.09149	-53.58971	-0.27733	-0.00033	-0.00737	0.00051	1
8	0.04696	-84.77078	0.21295	-0.0005	-0.01615	-0.00015	1
9	0.00733	-69.99089	0.35848	-0.00025	-0.02013	0.00029	1
10	0.15715	-16.10691	0.38983	-0.00023	-0.00204	3e-05	1
11	-0.07576	-12.73199	-0.62563	-9e-05	0.00283	0.00068	1
12	-0.03238	90.50368	0.14554	0.00062	0.01156	0.00018	0
13	0.02583	81.8005	0.34975	0.00048	0.01251	0.00039	0
14	-0.02252	19.42984	0.29967	0.00025	0.0007	-0.00047	0
15	-0.06009	34.21773	-0.49747	-2e-05	0.008	0.00013	0
16	-0.00104	50.59956	-0.22864	0.0003	0.00528	0.0001	0
17	-0.00832	-42.55992	0.13823	-0.00018	-0.01367	6e-05	1
18	-0.08186	-16.29398	0.07958	-0.00033	-0.01	0.00032	1
19	-0.06606	-36.50361	-0.73317	-0.0005	-0.00718	-0.00024	1
20	-0.06464	79.52472	-0.14072	0.00049	0.00936	0.00024	0
21	0.00038	97.44213	0.1472	0.00061	0.01355	-0.00036	0
22	-4e-05	-12.97799	0.2762	-0.00018	-0.00748	-0.00011	1
23	0.02025	-43.71052	0.02059	-0.00048	-0.01323	8e-05	1
24	0.00841	-1.99957	0.10834	-1e-05	-0.00631	-0.00018	1
25	-0.01768	17.82767	0.34456	-0.00031	-0.00833	8e-05	0
26	-0.07275	70.09236	-0.31188	0.00067	0.00595	9e-05	0
27	0.01101	-34.63211	0.32949	-0.00041	-0.01046	-0.00015	1
28	-0.05238	17.19734	-0.31637	-7e-05	0.00038	0.00081	0
29	-0.02099	-129.03175	0.19499	-0.00113	-0.02931	0.00014	1
30	-0.07948	35.14751	-0.26382	-2e-05	0.00123	-8e-05	0
31	-0.08385	-72.77387	-0.37809	-0.00087	-0.01379	0.00039	1
32	-0.00324	64.66421	0.30457	0.00019	0.00444	-0.00029	0
33	-0.05877	178.54917	-0.36796	0.00136	0.02652	7e-05	0
34	-0.02087	-228.33146	-0.26429	-0.00172	-0.04387	0.00023	1
35	-0.09149	-53.58971	-0.27733	-0.00033	-0.00737	0.00051	1
36	0.04696	-84.77078	0.21295	-0.0005	-0.01615	-0.00015	1
37	0.00733	-69.99089	0.35848	-0.00025	-0.02013	0.00029	1
38	0.15715	-16.10691	0.38983	-0.00023	-0.00204	3e-05	1
39	-0.07576	-12.73199	-0.62563	-9e-05	0.00283	0.00068	1
40	-0.03238	90.50368	0.14554	0.00062	0.01156	0.00018	0
41	0.02583	81.8005	0.34975	0.00048	0.01251	0.00039	0
42	-0.02252	19.42984	0.29967	0.00025	0.0007	-0.00047	0
43	-0.06009	34.21773	-0.49747	-2e-05	0.008	0.00013	0
44	-0.00104	50.59956	-0.22864	0.0003	0.00528	0.0001	0
45	-0.00832	-42.55992	0.13823	-0.00018	-0.01367	6e-05	1
46	-0.08186	-16.29398	0.07958	-0.00033	-0.01	0.00032	1
47	-0.06606	-36.50361	-0.73317	-0.0005	-0.00718	-0.00024	1
48	-0.06464	79.52472	-0.14072	0.00049	0.00936	0.00024	0
49	0.00038	97.44213	0.1472	0.00061	0.01355	-0.00036	0
50	-4e-05	-12.97799	0.2762	-0.00018	-0.00748	-0.00011	1
51	0.02025	-43.71052	0.02059	-0.00048	-0.01323	8e-05	1
52	0.00841	-1.99957	0.10834	-1e-05	-0.00631	-0.00018	1
53	-0.01768	17.82767	0.34456	-0.00031	-0.00833	8e-05	0
54	-0.07275	70.09236	-0.31188	0.00067	0.00595	9e-05	0
55	0.01101	-34.63211	0.32949	-0.00041	-0.01046	-0.00015	1
56	-0.05238	17.19734	-0.31637	-7e-05	0.00038	0.00081	0
57	-0.02099	-129.03175	0.19499	-0.00113	-0.02931	0.00014	1
58	-0.07948	35.14751	-0.26382	-2e-05	0.00123	-8e-05	0
59	-0.08385	-72.77387	-0.37809	-0.00087	-0.01379	0.00039	1
60	-0.00324	64.66421	0.30457	0.00019	0.00444	-0.00029	0
61	-0.05877	178.54917	-0.36796	0.00136	0.02652	7e-05	0
62	-0.02087	-228.33146	-0.26429	-0.00172	-0.04387	0.00023	1
63	-0.09149	-53.58971	-0.27733	-0.00033	-0.00737	0.00051	1
64	0.04696	-84.77078	0.21295	-0.0005	-0.01615	-0.00015	1
65	0.00733	-69.99089	0.35848	-0.00025	-0.02013	0.00029	1
66	0.15715	-16.10691	0.38983	-0.00023	-0.00204	3e-05	1
67	-0.07576	-12.73199	-0.62563	-9e-05	0.00283	0.00068	1
68	-0.03238	90.50368	0.14554	0.00062	0.01156	0.00018	0
69	0.02583	81.8005	0.34975	0.00048	0.01251	0.00039	0
70	-0.02252	19.42984	0.29967	0.00025	0.0007	-0.00047	0
71	-0.06009	34.21773	-0.49747	-2e-05	0.008	0.00013	0
72	-0.00104	50.59956	-0.22864	0.0003	0.00528	0.0001	0
73	-0.00832	-42.55992	0.13823	-0.00018	-0.01367	6e-05	1
74	-0.08186	-16.29398	0.07958	-0.00033	-0.01	0.00032	1
75	-0.06606	-36.50361	-0.73317	-0.0005	-0.00718	-0.00024	1
76	-0.06464	79.52472	-0.14072	0.00049	0.00936	0.00024	0
77	0.00038	97.44213	0.1472	0.00061	0.01355	-0.00036	0
78	-4e-05	-12.97799	0.2762	-0.00018	-0.00748	-0.00011	1
79	0.02025	-43.71052	0.02059	-0.00048	-0.01323	8e-05	1
80	0.00841	-1.99957	0.10834	-1e-05	-0.00631	-0.00018	1
81	-0.01768	17.82767	0.34456	-0.00031	-0.00833	8e-05	0
82	-0.07275	70.09236	-0.31188	0.00067	0.00595	9e-05	0
83	0.01101	-34.63211	0.32949	-0.00041	-0.01046	-0.00015	1
