	f28	f20	f4	f13	preds_binary
0	-0.03633	0.02579	-0.01013	-0.00824	1
1	-0.01443	-0.03522	-0.00497	-0.02876	1
2	0.01892	0.00569	0.00014	0.04811	1
3	0.01538	0.01384	0.02551	0.03234	1
4	0.02128	0.02369	-0.00304	-0.00345	0
5	0.01097	-0.02331	-0.00153	0.0324	1
6	-0.00807	0.03957	0.01368	-0.00808	0
7	-0.01023	0.01479	0.01474	0.00683	1
8	-0.02177	-0.00326	0.00337	-0.00772	1
9	0.01513	-0.03064	-0.00152	0.04044	1
10	0.03745	0.01343	-0.00234	0.04755	1
11	0.02372	-0.02021	-0.00142	0.00194	1
12	0.04028	-0.03436	0.01732	-0.01699	1
13	0.02834	0.0031	0.00306	0.04618	1
14	-0.00031	-0.01178	-0.00829	-3e-05	1
15	0.04434	0.02377	0.00389	0.00118	1
16	-0.02371	0.02461	0.01086	0.00723	1
17	-0.01534	0.03384	0.0134	0.0092	1
18	0.02332	-0.03165	-0.00736	0.03182	1
19	-0.02439	-0.02766	0.00012	0.00421	1
20	0.03842	-0.01613	0.02045	0.02199	1
21	0.00885	0.01115	0.02358	0.01544	1
22	-0.00424	0.01871	0.01296	0.01073	0
23	0.03233	-0.01777	0.02369	0.01939	1
24	-0.01534	0.03384	0.0134	0.0092	1
25	0.05347	-0.0371	0.03137	-0.05126	1
26	0.01452	0.01687	0.00033	-0.00986	0
27	0.00885	0.01115	0.02358	0.01544	1
28	-0.00421	0.03361	0.01378	0.00836	0
29	-0.02649	0.02695	-0.0096	-0.01462	1
30	0.00612	0.01041	-0.00961	0.01462	0
31	0.01714	-0.01546	-0.0045	-0.01853	1
32	0.01446	-0.01678	0.00289	-0.01599	1
33	0.01803	0.00092	0.00174	-0.00341	0
34	0.01929	0.0243	0.01179	-0.02902	0
35	0.0199	0.02677	0.00227	0.00059	0
36	0.03524	0.01727	-0.0002	-0.00489	1
37	0.03036	0.00436	0.01127	-0.03907	0
38	0.01835	-0.02218	0.00326	-0.01599	1
39	0.01811	-0.02882	-0.00328	0.02932	1
40	0.0152	-0.01049	0.00195	-0.02034	0
41	0.04184	0.01335	0.01171	-0.04798	1
42	-0.00807	0.03957	0.01368	-0.00808	0
43	-0.00862	0.00576	0.01009	0.00213	1
44	0.00564	-0.01171	0.0113	-0.0306	0
45	0.00894	0.01131	5e-05	-0.02557	0
46	0.00787	-0.01117	-0.00449	-0.00503	0
47	0.00236	-0.01418	0.00527	-0.01033	0
48	-0.03087	-0.00546	0.00784	-0.0062	1
49	0.01687	0.0176	-0.01353	0.0125	0
50	0.01875	7e-05	0.00755	-0.0571	0
51	0.01737	0.00883	0.00546	-0.0029	0
52	0.02857	-0.00505	0.01104	-0.0054	0
53	0.02418	0.0049	0.00095	0.04772	1
54	-0.00608	-0.02708	-0.00118	0.00175	1
55	-0.02492	-0.02488	-0.0045	0.00576	1
56	0.00625	0.01225	0.0009	-0.00687	0
57	0.01695	-0.00824	0.00913	-0.04637	0
58	0.04206	0.02653	-0.00207	-0.03565	1
59	0.01913	0.01379	0.00658	0.03728	0
60	0.0078	0.01228	-0.00567	0.03992	0
61	0.00813	-0.01131	0.00532	-0.00881	0
62	-0.00702	0.00409	0.01977	0.00886	1
63	0.01276	0.00856	0.01057	-0.03307	0
64	0.01765	0.02435	-0.00721	-0.00502	0
65	0.03746	0.01027	0.00306	0.06131	1
66	0.00965	-0.02816	-0.00218	0.04337	1
67	0.00904	0.03014	0.00869	0.04273	1
68	-0.02613	-0.00919	0.0032	-0.02146	1
69	-0.00705	-0.00404	0.01555	0.011	1
70	0.0077	-0.0094	0.02798	0.02257	1
71	-0.00702	0.00409	0.01977	0.00886	1
72	0.02333	0.04063	0.00711	-0.0311	0
73	-0.00909	0.00187	0.00898	0.00161	0
74	0.02288	0.01005	0.02733	0.02222	1
75	0.03739	0.02365	0.0024	-0.01652	1
76	0.00885	0.01115	0.02358	0.01544	1
77	0.0301	0.01248	-0.00276	0.04988	1
78	0.00201	-0.01215	-0.00825	0.00097	0
