	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40
0	-0.00444	0.00607	0.01064	0.00948	-0.00141	0.00927	0.00593	0.01561	0.00915	0.00156	0.0065	0.00639	0.01885	0.00531	-0.00352	-4e-05	0.01144	0.01096	0.01023	-0.00497	0.01114	0.0033	0.01292	0.00867	-0.00815	-0.00508	0.00227	0.01571	0.00521	0.00312	-0.00253	0.00804	0.01864	0.00777	-0.00021	0.01061	0.00462	0.02381	0.00335	0.00055
1	-0.00602	0.00091	0.00499	0.00629	-0.0004	-0.00351	0.00186	0.00142	0.00252	-0.00485	-0.00097	-0.00377	0.00211	0.00494	0.0033	-0.00385	-0.00143	-0.00339	0.00718	-0.00304	-0.00221	-0.00116	0.00085	0.00198	0.00222	-0.00144	-0.00263	-0.00489	0.00879	0.00284	0.0023	-0.00149	-0.00282	0.00461	-0.00226	0.00017	0.00238	0.00269	0.00509	-0.00491
2	-0.01113	0.0076	0.00146	0.00289	0.00064	0.00277	0.01721	-0.00132	0.00707	0.00273	-0.00913	0.00586	-0.00094	0.00412	-0.00031	0.00121	0.01255	-0.00218	0.00341	0.00343	0.00034	0.00665	0.00067	0.00041	-0.00433	0.00617	0.01074	-0.00028	0.0026	-0.00223	-0.00223	0.00664	0.0028	0.00237	-0.00425	-0.00043	0.00761	0.00441	0.0039	0.00197
3	-0.0045	0.00322	0.00324	0.00547	0.00228	-0.00126	-0.00709	0.00851	-0.00239	0.00072	-0.00257	0.00773	0.00844	0.00268	0.00114	-0.0009	-0.0018	0.00747	0.00796	-0.00204	0.0018	0.00287	0.00875	0.00441	-0.00187	0.0037	0.00717	0.00812	-0.00055	0.00123	0.00407	0.0057	0.00783	0.00687	0.00437	0.00265	-0.00293	0.00811	0.00462	3e-05
4	0.00166	0.00129	0.0055	0.00427	-0.00141	-0.00172	0.00604	0.00558	0.00557	0.00265	-0.00508	0.0048	0.00475	0.00778	-0.00123	0.00308	0.00821	0.00456	0.00351	-0.00171	0.00054	0.00539	0.00346	0.00575	0.00407	-0.00086	0.00473	0.00524	0.00647	-0.00158	0.00045	0.00483	0.00064	0.00737	0.00087	0.00245	0.00069	0.0034	0.00609	-0.00049
5	-0.00143	0.00545	0.00048	0.00397	0.00169	-0.00348	0.00489	0.00477	0.00521	-0.00114	-0.002	0.00218	0.00244	0.00441	-0.00236	-0.00207	0.00806	0.00212	0.00281	-0.00139	-0.0024	0.00107	0.00105	0.00652	-0.00352	0.00066	-0.00021	0.00218	0.00395	-0.00207	0.00188	-0.00043	0.00603	0.00661	-0.00235	0.00344	0.00459	0.00293	0.00547	0.00138
6	-0.00302	0.00913	0.00584	0.0038	0.00212	0.00181	0.0096	0.00837	0.00603	-0.00193	-0.00175	0.00954	0.00396	0.00273	-0.00064	0.00466	0.00248	0.008	0.00307	-0.00282	-0.00711	0.00744	0.01309	0.00121	-0.00103	-0.00222	0.00756	0.00946	0.00573	-0.00128	-0.00266	0.00259	0.01132	0.00391	0.00363	0.00192	0.00298	0.00455	0.00423	-0.00381
7	-0.00139	0.00365	-0.00265	0.00154	0.0001	0.00223	0.00124	0.00406	0.00107	-0.00122	-0.00323	0.00421	0.00173	0.00162	0.00044	0.00404	0.00499	-0.00181	0.0019	-0.00028	-0.00056	0.00343	0.00296	0.00363	-0.00083	0.00534	0.00267	0.00155	0.00241	-0.00111	-0.00251	0.0042	0.00424	0.00293	-0.00077	0.00835	-0.00037	0.00035	0.00473	0.00068
8	-0.00575	0.00272	0.00345	0.0028	0.00021	-0.00124	0.00352	0.00751	0.00329	0.00144	0.00701	-0.00075	0.00615	0.00446	0.00061	0.00175	-0.00191	0.00787	0.00338	-0.00179	-0.00264	0.00456	0.00544	0.00269	-0.00083	-0.00084	-7e-05	0.00777	0.00144	-0.00043	0.00656	0.00268	0.00722	0.00563	-0.00099	0.00304	-0.00152	0.00881	0.00459	0.00234
9	1e-05	0.00676	0.00634	0.00341	-0.00261	0.00625	0.01277	0.0073	0.00478	0.00901	0.00233	0.00619	0.0048	0.00482	0.00271	-0.00068	0.00602	0.00457	0.00481	0.00354	0.00326	0.00944	0.00717	0.00437	-0.00022	-0.00424	-0.00573	-0.00153	0.00573	0.00233	0.00409	0.00913	0.00941	0.001	0.00912	0.0021	0.00546	0.00566	0.00101	0.00261
10	0.00136	0.00635	0.00505	0.00749	0.00228	0.00217	-0.00066	0.01375	0.00657	0.00458	-0.00463	0.00474	0.00204	0.0039	-0.00369	-0.00232	0.00801	0.00524	0.00447	0.00417	0.00054	0.01336	0.00631	0.00443	-0.00094	-0.00266	0.00717	0.00978	0.00567	-0.00182	-0.00692	0.00244	0.00719	0.00416	-0.007	0.00014	0.00673	0.01114	0.00341	0.00176
11	-0.00457	-0.00189	0.00937	0.00217	-0.00122	-0.00319	0.00117	0.00534	0.00328	0.00412	-0.00237	0.0012	0.00686	0.00321	-0.00167	-0.00124	0.00395	0.00788	0.00253	-0.00064	-0.00292	-0.00111	0.00642	0.00295	-0.00087	-0.00934	0.00507	0.00061	0.00264	-0.00387	0.00649	0.00338	0.00756	0.00384	0.0002	-0.00264	0.00397	0.00231	0.00564	-0.00398
12	-0.01486	0.00417	0.01023	0.00489	0.00016	0.00655	-0.00089	0.00487	-0.00047	-0.0011	-0.00504	0.00347	0.00884	0.0016	0.00182	0.00041	0.00394	0.00561	0.00188	-0.0034	-0.00054	0.00725	0.00754	0.00039	-0.00131	0.00365	0.00035	0.00505	0.00325	-0.00686	-0.00091	-0.00069	0.00394	-0.00052	-0.00019	-0.00442	-0.00306	0.00118	-0.00177	0.00021
13	-0.00102	0.00158	0.00793	0.00591	0.00385	-0.00895	-0.00072	-0.00289	0.00538	-0.00029	-0.00907	0.0037	0.00059	0.00415	-0.00173	-0.00188	0.00062	0.00489	0.00686	0.00117	-0.00576	-0.00091	0.00546	0.00429	0.00391	0.0023	0.00182	0.0013	0.00348	0.00056	0.00133	-0.00128	0.00459	0.00993	-6e-05	0.00059	-0.00226	0.00502	0.00474	0.00037
14	-0.00095	0.00795	0.00139	0.00149	-0.00012	0.00211	0.0098	0.00347	0.00032	0.00022	-0.00223	0.00525	0.00237	0.00189	0.00012	0.00382	0.00448	0.00397	0.0054	-0.00254	0.0	0.01318	0.00679	0.00113	0.00194	0.00194	0.00925	0.00066	0.0029	0.00162	0.004	0.01104	0.00286	0.00021	0.00037	0.00514	0.01122	0.00456	0.0046	0.00217
15	-0.00244	0.01536	-0.0033	0.00751	-0.00329	0.00577	0.01331	0.00373	0.00536	0.00367	-0.00468	0.0137	0.00287	0.00509	-0.00463	0.00027	0.01338	0.00234	0.00639	-4e-05	-0.00623	0.0165	0.00853	0.00425	-0.00046	-0.00209	0.01486	0.00207	0.00559	0.00135	0.00116	0.01406	0.00321	0.00615	0.00064	-0.00063	0.0141	-0.00053	0.00617	0.00085
16	-0.00374	-0.00047	0.00658	5e-05	-0.00106	-0.00407	-0.00114	0.00541	0.00172	-8e-05	0.00026	-0.00098	0.00945	0.00395	0.00113	0.00044	0.00161	0.00392	0.00128	-0.00404	-0.00438	-0.00209	0.0027	-0.00074	-0.00253	-0.00493	0.00194	0.00384	0.00247	-0.00246	0.00313	0.00663	0.00937	0.00296	-0.00063	-0.00341	0.01012	0.00646	0.00376	0.00134
17	-0.00172	-0.00377	0.00399	0.0048	-0.00684	-0.00292	-0.00101	0.00391	0.00232	0.00562	0.00388	0.00423	0.00459	0.00602	-0.00181	-0.00414	0.00542	0.0096	0.00476	0.00494	0.00316	0.00955	0.00445	0.00478	0.00111	-0.0022	0.00586	0.00395	-0.00047	0.00103	-0.00144	0.00042	0.00298	0.00477	0.00233	0.00297	0.00104	0.00711	0.00611	-0.00114
18	-0.00228	-0.00196	0.00588	0.00064	-0.00337	-0.00644	-0.00136	0.00484	0.00438	-0.00295	0.00479	0.00102	0.00569	0.00223	-0.00038	0.00165	-0.00086	0.00616	0.00431	0.0021	-0.00223	0.00288	0.00546	0.00405	-0.00056	-0.0022	-0.00094	0.00422	0.00421	-0.00106	0.00337	0.00332	0.0058	0.00297	0.00169	0.0013	-0.00223	0.00347	0.00409	0.00299
19	-0.01366	0.00603	0.00199	-0.00131	-0.0014	0.01055	0.01489	-0.0022	-0.00657	-0.00629	-0.00143	0.01013	-0.00129	0.00922	0.00398	0.00039	0.02044	-0.0002	0.0051	-0.00349	-0.00643	0.01128	0.00303	0.0001	-0.00325	0.00044	0.00917	-0.00488	0.00184	-0.00299	-0.0011	0.014	0.00535	0.00146	0.0007	-0.00447	0.01269	0.00376	0.00543	-0.00298
20	-0.0005	0.00157	0.02333	0.00365	0.00308	-0.01255	0.00017	0.01593	0.00351	-0.00172	0.00924	0.00458	0.02272	0.00426	0.00101	0.01048	0.00675	0.02586	0.00442	-0.00208	-0.0061	0.00091	0.02136	0.0021	-0.00123	0.00319	-0.00035	0.02042	0.00547	0.00767	0.01453	0.01106	0.02417	0.00456	-0.00019	-0.00428	0.00667	0.0241	0.00626	0.00447
21	0.00283	-0.00331	0.01053	0.00586	0.00038	0.00147	0.00227	0.00412	0.00819	-0.00028	0.00312	-0.00188	0.00366	0.00215	-0.00032	0.00578	-0.00497	0.0047	0.00524	0.00049	0.0004	0.00144	0.00949	-0.00051	0.00094	0.00481	-0.00059	0.00562	0.00102	-0.00063	0.0077	0.00529	0.00417	0.00711	-6e-05	-0.00358	-0.00413	-0.00068	0.00421	0.0008
